service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
LLR_2024-04-27_Apr5_Link_ELSL_Spring2024_Saturday,0,0,0,0,0,1,0,20240427,20240511
LLR_2024-04-27_Apr5_Link_ELSL_Spring2024_Sunday,0,0,0,0,0,0,1,20240427,20240511
LLR_2024-04-27_Apr5_Link_ELSL_Spring2024_Weekday,1,1,1,1,1,0,0,20240427,20240511
LLR_2024-05-12_Apr26_May12_Sunday,0,0,0,0,0,0,1,20240512,20240512
LLR_2024-05-13_Apr26_FW_Tiein_Saturday,0,0,0,0,0,1,0,20240513,20240531
LLR_2024-05-13_Apr26_FW_Tiein_Sunday,0,0,0,0,0,0,1,20240513,20240531
LLR_2024-05-13_Apr26_FW_Tiein_Weekday,1,1,1,1,1,0,0,20240513,20240526
LLR_2024-05-27_Apr26_MemorialDay2024_May27,1,0,0,0,0,0,0,20240527,20240527
LLR_2024-05-28_May28_FW_Tiein_Weekday,1,1,1,1,1,0,0,20240528,20240620
LLR_2024-06-01_Apr26_FW_CC_Saturday,0,0,0,0,0,1,0,20240601,20240607
LLR_2024-06-01_Apr26_FW_CC_Sunday,0,0,0,0,0,0,1,20240601,20240607
LLR_2024-06-08_Jun8_FW_Tiein_Saturday,0,0,0,0,0,1,0,20240608,20240620
LLR_2024-06-08_Jun8_FW_Tiein_Sunday,0,0,0,0,0,0,1,20240608,20240620
LLR_2024-06-21_Jun21_Link_ELSL_Spring2024_Saturday,0,0,0,0,0,1,0,20240621,20240830
LLR_2024-06-21_Jun21_Link_ELSL_Spring2024_Sunday,0,0,0,0,0,0,1,20240621,20240830
LLR_2024-06-21_Jun21_Link_ELSL_Spring2024_Weekday,1,1,1,1,1,0,0,20240621,20240830
TLINE_2023_HTLE12_Saturday,0,0,0,0,0,1,0,20240301,20240830
TLINE_2023_HTLE12_Sunday,0,0,0,0,0,0,1,20240301,20240830
TLINE_2023_HTLE12_Weekday,1,1,1,1,1,0,0,20240301,20240830
WD_SNDR_20230320_Weekday,1,1,1,1,1,0,0,20240301,20240830
